Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 10:21:13
FILENAME   : vei_t8303_160519102111_T8303.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8303
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
  Location                =vei_t8303
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:20:09 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16385
Date/time;Druk[cm];Temperatuur[°C]
2016/03/24 22:30:00;1033.3;8.07
2016/03/24 22:35:00;1033.2;8.07
2016/03/24 22:40:00;1033.3;8.07
2016/03/24 22:45:00;1033.3;8.07
2016/03/24 22:50:00;1033.2;8.07
2016/03/24 22:55:00;1033.0;8.07
2016/03/24 23:00:00;1033.0;8.07
2016/03/24 23:05:00;1033.2;8.07
2016/03/24 23:10:00;1033.2;8.07
2016/03/24 23:15:00;1033.0;8.07
2016/03/24 23:20:00;1033.0;8.07
2016/03/24 23:25:00;1033.0;8.07
2016/03/24 23:30:00;1032.9;8.07
2016/03/24 23:35:00;1033.0;8.07
2016/03/24 23:40:00;1032.9;8.07
2016/03/24 23:45:00;1032.9;8.07
2016/03/24 23:50:00;1032.9;8.07
2016/03/24 23:55:00;1032.9;8.07
2016/03/25 00:00:00;1032.7;8.07
2016/03/25 00:05:00;1032.7;8.07
2016/03/25 00:10:00;1032.7;8.07
2016/03/25 00:15:00;1032.9;8.07
2016/03/25 00:20:00;1032.7;8.07
2016/03/25 00:25:00;1032.5;8.07
2016/03/25 00:30:00;1032.7;8.07
2016/03/25 00:35:00;1032.7;8.08
2016/03/25 00:40:00;1032.7;8.08
2016/03/25 00:45:00;1032.7;8.08
2016/03/25 00:50:00;1032.7;8.08
2016/03/25 00:55:00;1032.5;8.08
2016/03/25 01:00:00;1032.5;8.08
2016/03/25 01:05:00;1032.3;8.08
2016/03/25 01:10:00;1032.2;8.09
2016/03/25 01:15:00;1032.3;8.08
2016/03/25 01:20:00;1032.2;8.08
2016/03/25 01:25:00;1031.8;8.09
2016/03/25 01:30:00;1032.0;8.09
2016/03/25 01:35:00;1032.2;8.09
2016/03/25 01:40:00;1031.8;8.09
2016/03/25 01:45:00;1032.0;8.09
2016/03/25 01:50:00;1031.8;8.09
2016/03/25 01:55:00;1031.8;8.09
2016/03/25 02:00:00;1032.0;8.09
2016/03/25 02:05:00;1031.8;8.09
2016/03/25 02:10:00;1032.0;8.09
2016/03/25 02:15:00;1031.8;8.09
2016/03/25 02:20:00;1032.0;8.09
2016/03/25 02:25:00;1031.8;8.09
2016/03/25 02:30:00;1031.8;8.09
2016/03/25 02:35:00;1031.8;8.09
2016/03/25 02:40:00;1031.4;8.09
2016/03/25 02:45:00;1031.6;8.09
2016/03/25 02:50:00;1031.4;8.09
2016/03/25 02:55:00;1031.4;8.09
2016/03/25 03:00:00;1031.3;8.09
2016/03/25 03:05:00;1031.3;8.10
2016/03/25 03:10:00;1031.5;8.10
2016/03/25 03:15:00;1031.3;8.10
2016/03/25 03:20:00;1031.3;8.10
2016/03/25 03:25:00;1031.1;8.10
2016/03/25 03:30:00;1031.1;8.10
2016/03/25 03:35:00;1031.1;8.10
2016/03/25 03:40:00;1031.0;8.10
2016/03/25 03:45:00;1031.0;8.10
2016/03/25 03:50:00;1031.0;8.10
2016/03/25 03:55:00;1030.8;8.10
2016/03/25 04:00:00;1030.6;8.10
2016/03/25 04:05:00;1030.6;8.11
2016/03/25 04:10:00;1030.4;8.11
2016/03/25 04:15:00;1030.4;8.11
2016/03/25 04:20:00;1030.3;8.11
2016/03/25 04:25:00;1030.3;8.11
2016/03/25 04:30:00;1030.4;8.11
2016/03/25 04:35:00;1030.3;8.11
